# line ne Te tau C
# SFR = C * L_HeI / (1.26e41) / (0.0852 Y) Msun/yr
# Y = 0.25+26.13*10**(logOH-12); Izotov+14
# see Morishita et al., 2024
10830 30 5000 0 0.7641
10830 30 5000 10 0.7595
10830 30 5000 20 0.7535
10830 30 5000 30 0.7460
10830 30 5000 40 0.7372
10830 30 5000 50 0.7271
10830 30 5000 60 0.7159
10830 30 5000 70 0.7036
10830 30 5000 80 0.6903
10830 30 5000 90 0.6760
10830 30 5000 100 0.6607
10830 30 5000 110 0.6447
10830 30 5000 120 0.6278
10830 30 5000 130 0.6101
10830 30 5000 140 0.5917
10830 30 5000 150 0.5727
10830 30 5000 160 0.5530
10830 30 5000 170 0.5326
10830 30 5000 180 0.5117
10830 30 5000 190 0.4903
10830 30 5000 200 0.4683
10830 30 5000 210 0.4458
10830 30 5000 220 0.4228
10830 30 5000 230 0.3993
10830 30 5000 240 0.3754
10830 30 5000 250 0.3512
10830 30 5000 260 0.3265
10830 30 5000 270 0.3014
10830 30 5000 280 0.2759
10830 30 5000 290 0.2501
10830 30 10000 0 0.7641
10830 30 10000 10 0.7595
10830 30 10000 20 0.7535
10830 30 10000 30 0.7460
10830 30 10000 40 0.7372
10830 30 10000 50 0.7271
10830 30 10000 60 0.7159
10830 30 10000 70 0.7036
10830 30 10000 80 0.6903
10830 30 10000 90 0.6760
10830 30 10000 100 0.6607
10830 30 10000 110 0.6447
10830 30 10000 120 0.6278
10830 30 10000 130 0.6101
10830 30 10000 140 0.5917
10830 30 10000 150 0.5727
10830 30 10000 160 0.5530
10830 30 10000 170 0.5326
10830 30 10000 180 0.5117
10830 30 10000 190 0.4903
10830 30 10000 200 0.4683
10830 30 10000 210 0.4458
10830 30 10000 220 0.4228
10830 30 10000 230 0.3993
10830 30 10000 240 0.3754
10830 30 10000 250 0.3512
10830 30 10000 260 0.3265
10830 30 10000 270 0.3014
10830 30 10000 280 0.2759
10830 30 10000 290 0.2501
10830 30 15000 0 0.7641
10830 30 15000 10 0.7595
10830 30 15000 20 0.7535
10830 30 15000 30 0.7460
10830 30 15000 40 0.7372
10830 30 15000 50 0.7271
10830 30 15000 60 0.7159
10830 30 15000 70 0.7036
10830 30 15000 80 0.6903
10830 30 15000 90 0.6760
10830 30 15000 100 0.6607
10830 30 15000 110 0.6447
10830 30 15000 120 0.6278
10830 30 15000 130 0.6101
10830 30 15000 140 0.5917
10830 30 15000 150 0.5727
10830 30 15000 160 0.5530
10830 30 15000 170 0.5326
10830 30 15000 180 0.5117
10830 30 15000 190 0.4903
10830 30 15000 200 0.4683
10830 30 15000 210 0.4458
10830 30 15000 220 0.4228
10830 30 15000 230 0.3993
10830 30 15000 240 0.3754
10830 30 15000 250 0.3512
10830 30 15000 260 0.3265
10830 30 15000 270 0.3014
10830 30 15000 280 0.2759
10830 30 15000 290 0.2501
10830 30 20000 0 0.7641
10830 30 20000 10 0.7595
10830 30 20000 20 0.7535
10830 30 20000 30 0.7460
10830 30 20000 40 0.7372
10830 30 20000 50 0.7271
10830 30 20000 60 0.7159
10830 30 20000 70 0.7036
10830 30 20000 80 0.6903
10830 30 20000 90 0.6760
10830 30 20000 100 0.6607
10830 30 20000 110 0.6447
10830 30 20000 120 0.6278
10830 30 20000 130 0.6101
10830 30 20000 140 0.5917
10830 30 20000 150 0.5727
10830 30 20000 160 0.5530
10830 30 20000 170 0.5326
10830 30 20000 180 0.5117
10830 30 20000 190 0.4903
