# Emissivities T5000 T10000 T20000 a b c e
# Benjamin+1999 ApJ_514_307
4pijHb/nenH+ 2.20e-25 1.23e-25 6.58e-26 1.37e-25 -0.982 -0.104 0.66 
4pij4686/nenHe++ 3.02e-24 1.52e-24 7.29e-25 1.65e-24 -1.118 -0.087 0.63 
4pijBr/nenH+ 2.13e-25 1.15e-25 5.82e-26 1.31e-25 -1.077 -0.133 0.72 
4pij4473/nenHe+ 1.18e-25 6.16e-26 3.11e-26 6.68e-26 -1.048 -0.08 0.65 
j2946/j4473 0.356 0.438 0.540 2.91e-26 -0.740 -0.076 0.65 
j3189/j4473 0.745 0.913 1.136 5.90e-26 -0.707 -0.048 0.57 
j3615/j4473 0.094 0.110 0.127 7.60e-27 -0.864 -0.115 0.52 
j3890/j4473 1.864 2.231 2.742 1.41e-25 -0.709 -0.025 0.58 
j3966/j4473 0.193 0.226 0.261 1.53e-26 -0.845 -0.097 0.52 
j4027/j4473 0.450 0.464 0.463 3.32e-26 -1.098 -0.148 0.75 
j4122/j4473 0.028 0.040 0.059 2.39e-27 -0.405 0.024 0.53 
j4389/j4473 0.120 0.123 0.121 8.83e-27 -1.121 -0.156 0.53 
j4439/j4473 0.013 0.017 0.023 1.06e-27 -0.547 -0.011 0.51 
j4473/j4473 1.000 1.000 1.000 6.68e-26 -1.048 -0.080 0.65 
j4715/j4473 0.075 0.105 0.164 5.52e-27 -0.230 0.155 0.88 
j4923/j4473 0.269 0.266 0.257 1.85e-26 -1.125 -0.124 0.52 
j5017/j4473 0.496 0.567 0.646 3.79e-26 -0.859 -0.083 0.52
j5049/j4473 0.031 0.041 0.057 2.42e-27 -0.489 0.035 0.51 
j5877/j4473 2.989 2.743 2.591 1.73e-25 -1.091 -0.024 0.76 
j6680/j4473 0.857 0.778 0.702 5.25e-26 -1.202 -0.091 0.51 
j7067/j4473 0.358 0.481 0.713 2.65e-26 -0.340 0.114 0.68
j7283/j4473 0.114 0.146 0.197 8.88e-27 -0.547 0.015 0.52 
j9466/j4473 0.020 0.024 0.030 1.61e-27 -0.740 -0.076 0.65 
j10833/j4473 4.298 5.515 7.895 2.94e-25 -0.364 0.144 0.98 
j11973/j4473 0.045 0.047 0.047 3.35e-27 -1.098 -0.148 0.76 
j12531/j4473 0.024 0.029 0.036 1.89e-27 -0.707 -0.048 0.57 
j12789/j4473 0.174 0.152 0.129 1.08e-26 -1.331 -0.141 0.69 
j12793/j4473 0.058 0.051 0.043 3.6e-27 -1.331 -0.141 0.52
j12972/j4473 0.015 0.016 0.015 1.12e-27 -1.121 -0.156 0.53 
j15088/j4473 0.010 0.012 0.014 8.14e-28 -0.845 -0.097 0.52 
j17007/j4473 0.066 0.066 0.066 4.42e-27 -1.048 -0.08 0.65 
j18690/j4473 0.440 0.360 0.295 2.4e-26 -1.332 -0.078 0.55
j18701/j4473 0.146 0.120 0.097 8.16e-27 -1.364 -0.100 0.51 
j19091/j4473 0.025 0.025 0.024 1.71e-27 -1.125 -0.123 0.52 
j19550/j4473 0.014 0.017 0.021 1.10e-27 -0.707 -0.048 0.57 
j10589/j4473 0.629 0.670 0.721 4.35e-26 -0.919 -0.054 0.52 
j21128/j4473 0.011 0.016 0.025 8.43e-28 -0.230 0.155 0.88 
